indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,ES53	10256.3 	11045.3 	11507.4 	11807.7 	13648.9 	14170.6 	14580.3 	14172.6 	14456.3 	15022.3 	15528.5 	15741.5 
B6N_U,PPCS_HAB,ES61	6987.8 	7352.5 	7738.4 	8096.3 	8939.6 	9452.9 	9998.6 	10117.6 	10318.7 	10960.7 	11423.8 	11769.0 
B6N_U,PPCS_HAB,ES62	7173.1 	7710.5 	8142.7 	8452.8 	9620.3 	10090.4 	10875.3 	10545.1 	10559.9 	11176.3 	11446.9 	11852.8 
B6N_U,PPCS_HAB,ES63	: 	: 	: 	: 	10726.7 	11015.5 	11771.9 	12302.9 	12898.1 	13928.3 	14663.0 	14997.7 
B6N_U,PPCS_HAB,ES64	: 	: 	: 	: 	10780.6 	11318.8 	11966.1 	12175.8 	12936.6 	13802.9 	14756.4 	14921.2 
B6N_U,PPCS_HAB,ES70	8005.8 	8391.6 	8942.6 	9637.2 	10528.3 	10965.0 	11579.8 	11526.9 	11600.0 	12119.9 	12621.1 	13071.8 
B6N_U,PPCS_HAB,FI13	7375.0 	7871.1 	8153.1 	8534.7 	8916.3 	9150.1 	9689.7 	9967.6 	10718.3 	10874.1 	11447.0 	12492.6 
B6N_U,PPCS_HAB,FI18	8088.9 	8762.8 	9226.7 	9985.5 	10463.1 	10827.8 	11410.4 	11770.2 	12593.2 	12802.3 	13238.4 	14201.8 
B6N_U,PPCS_HAB,FI19	7593.2 	8187.7 	8588.3 	8981.3 	9415.9 	9676.8 	10216.4 	10471.2 	11246.4 	11366.6 	11955.8 	12953.7 
B6N_U,PPCS_HAB,FI1A	7162.9 	7671.4 	7963.6 	8452.7 	8781.2 	9014.1 	9526.4 	9848.2 	10541.8 	10818.4 	11456.1 	12306.7 
B6N_U,PPCS_HAB,FI20	9561.1 	10543.1 	10960.1 	11899.9 	12636.5 	12928.9 	13780.2 	14140.1 	14810.7 	14187.3 	13538.9 	14888.3 
B6N_U,PPCS_HAB,FR10	13157.4 	13891.9 	14549.1 	15411.0 	16557.9 	18177.2 	19222.8 	18306.0 	19019.6 	19545.1 	19704.1 	21072.4 
B6N_U,PPCS_HAB,FR21	10351.5 	10822.7 	11372.3 	11889.2 	12850.6 	13782.6 	14478.2 	13847.3 	14577.9 	14882.1 	15597.1 	16406.6 
B6N_U,PPCS_HAB,FR22	10379.1 	10845.8 	11441.5 	11863.4 	12735.3 	13923.6 	14582.1 	14069.0 	14607.5 	15301.2 	15549.9 	16567.8 
B6N_U,PPCS_HAB,FR23	10608.8 	11021.7 	11590.1 	12020.7 	12953.1 	14290.5 	14928.3 	14449.2 	14949.8 	15570.8 	15852.0 	16885.9 
B6N_U,PPCS_HAB,FR24	10813.4 	11415.1 	11878.5 	12414.1 	13378.5 	14681.2 	15326.7 	14769.3 	15350.5 	15917.3 	16571.8 	17424.6 
B6N_U,PPCS_HAB,FR25	10268.4 	10769.5 	11122.8 	11517.4 	12384.0 	13577.4 	14176.4 	13725.0 	14227.8 	14974.4 	15871.8 	16530.2 
B6N_U,PPCS_HAB,FR26	10888.1 	11584.4 	12021.6 	12512.9 	13363.1 	14426.0 	15090.2 	14560.3 	15140.5 	15821.6 	16426.7 	17329.0 
B6N_U,PPCS_HAB,FR30	8940.5 	9305.5 	9771.3 	10211.3 	11112.9 	12314.2 	12849.1 	12378.5 	12833.5 	13456.5 	14316.2 	14939.0 
B6N_U,PPCS_HAB,FR41	10236.4 	10643.4 	11174.1 	11684.3 	12519.0 	14046.3 	14603.0 	14022.2 	14599.8 	15092.3 	15877.7 	16649.0 
B6N_U,PPCS_HAB,FR42	11008.7 	11451.6 	12053.1 	12544.8 	13470.4 	15166.6 	15766.8 	15048.5 	15635.9 	16261.8 	16425.1 	17517.7 
B6N_U,PPCS_HAB,FR43	10437.3 	10896.0 	11478.4 	11975.4 	12904.4 	14311.9 	14975.9 	14391.3 	14959.1 	15628.6 	15885.9 	16877.4 
