geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
ITD1	0.558 	1.731 	2.205 	: 	8.723 	: 	5.03 	1.434 	2.65 	5.911 	7.252 	2.051 p
ITD2	2.903 	5.814 	0.302 	2.848 	6.546 	: 	10.432 	6.209 	2.037 	12.059 	4.319 	2.623 p
ITD3	1.295 	2.851 	3.233 	3.51 	5.106 	3.571 	4.111 	4.385 	4.76 	4.966 	5.082 	3.859 p
ITD4	2.288 	5.026 	5.836 	3.968 	5.474 	6.392 	4.926 	5.035 	8.738 	8.558 	8.21 	2.466 p
ITD5	5.153 	8.487 	7.279 	7.41 	10.382 	5.436 	6.849 	6.012 	6.504 	8.13 	6.257 	5.202 p
ITE1	2.058 	4.055 	4.856 	7.154 	6.713 	7.408 	6.2 	7.812 	5.163 	6.87 	3.868 	3.364 p
ITE2	3.279 	4.742 	0.612 	1.221 	2.826 	1.82 	1.15 	4.795 	0.295 	2.561 	: 	5.155 p
ITE3	0.521 	1.213 	2.246 	2.238 	0.782 	3.757 	1.455 	1.819 	1.881 	1.626 	2.728 	1.302 p
ITE4	5.471 	5.473 	4.706 	5.673 	9.148 	8.83 	7.495 	10.148 	8.063 	11.662 	8.873 	3.71 p
ITF1	3.72 	2.783 	4.765 	1.785 	2.315 	1.649 	2.511 	3.793 	4.923 	2.563 	2.482 	2.115 p
ITF2	: 	: 	: 	: 	: 	2.582 	: 	: 	1.554 	: 	: 	0.781 p
ITF3	1.417 	0.758 	0.903 	0.844 	1.16 	1.393 	1.775 	1.726 	3.821 	3.358 	4.4 	1.943 p
ITF4	0.035 	0.432 	0.39 	0.66 	2.003 	1.197 	1.363 	1.21 	1.443 	2.967 	1.918 	1.243 p
ITF5	4.106 	5.402 	2.476 	5.998 	1.945 	: 	1.958 	5.395 	0.67 	3.688 	1.414 	1.133 p
ITF6	: 	0.608 	: 	: 	0.37 	0.193 	1.408 	0.956 	1.298 	1.16 	: 	0.5 p
ITG1	3.26 	2.429 	5.434 	6.244 	6.786 	6.171 	7.008 	6.657 	6.19 	7.201 	4.263 	1.744 p
ITG2	: 	1.364 	1.64 	1.218 	2.289 	0.783 	1.073 	1.545 	2.927 	0.709 	1.407 	1.29 p
LT00	0.138 	0.092 	: 	0.424 	0.578 	0.401 	0.095 	0.482 	0.447 	0.38 	0.882 	0.688 p
LU00	1.215 	11.995 	13.103 	7.02 	17.874 	17.654 	8.152 	8.722 	22.903 	15.892 	36.411 	9.87 p
LV00	: 	: 	: 	0.083 	0.369 	0.127 	0.682 	0.322 	: 	0.325 	: 	0.438 p
MT00	: 	: 	: 	: 	: 	: 	2.534 	: 	: 	2.483 	2.963 	: 
NL11	18.401 	17.272 	17.15 	10.732 	25.593 	16.576 	18.055 	13.473 	17.323 	24.101 	21.201 	22.663 p
NL12	4.134 	3.528 	7.652 	7.212 	1.073 	3.568 	4.826 	5.08 	6.339 	9.067 	: 	3.628 p
NL13	2.143 	7.595 	5.94 	5.716 	13.176 	5.416 	9.754 	7.751 	9.079 	16.964 	17.854 	0.679 p
NL21	9.108 	19.292 	12.148 	15.573 	8.472 	16.57 	11.91 	7.841 	12.98 	9.762 	13.857 	17.422 p
NL22	10.324 	11.171 	12.186 	20.301 	16.83 	22.209 	14.308 	11.477 	22.751 	20.532 	20.023 	11.505 p
NL23	18.326 	11.014 	18.583 	16.087 	28.467 	14.836 	16.388 	3.554 	12.587 	4.291 	6.61 	4.006 p
NL31	14.59 	36.519 	39.38 	32.875 	55.775 	40.098 	37.95 	35.176 	37.479 	31.077 	34.194 	15.916 p
NL32	13.794 	10.247 	16.922 	18.485 	23.547 	17.218 	20.418 	15.506 	24.729 	20.118 	18.53 	12.755 p
NL33	17.591 	27.291 	20.16 	21.052 	26.709 	22.627 	25.901 	19.497 	21.738 	23.708 	28.544 	17.18 p
NL34	15.87 	2.714 	5.406 	5.181 	6.508 	3.334 	11.743 	2.432 	10.131 	6.369 	7.102 	2.365 p
NL41	155.434 	181.616 	241.025 	305.868 	386.714 	554.419 	362.014 	208.479 	294.716 	251.36 	223.577 	59.321 p
NL42	18.118 	23.473 	23.086 	29.729 	32.229 	31.47 	35.555 	21.745 	39.69 	37.794 	34.242 	29.136 p
PL11	: 	: 	: 	: 	0.22 	: 	0.096 	0.502 	: 	: 	0.904 	0.39 p
PL12	0.223 	0.626 	: 	0.235 	0.268 	1.22 	1.097 	0.762 	1.344 	1.018 	1.076 	0.29 p
PL21	: 	: 	0.103 	: 	0.374 	0.195 	0.102 	0.463 	0.332 	0.307 	0.052 	0.229 p
PL22	0.102 	: 	: 	: 	: 	: 	: 	0.053 	: 	0.07 	0.907 	0.713 p
PL31	: 	: 	: 	: 	: 	0.224 	0.908 	0.091 	: 	0.522 	: 	0.575 p
PL32	: 	: 	: 	: 	: 	: 	: 	0.475 	0.572 	3.337 	0.477 	1.43 p
PL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.167 	: 
PL41	: 	: 	0.598 	0.671 	: 	: 	0.415 	0.119 	0.455 	0.297 	0.394 	0.098 p
PL42	: 	0.191 	: 	: 	: 	: 	: 	: 	0.59 	0.395 	1.181 	1.3 p
PL43	: 	: 	: 	: 	0.327 	: 	0.951 	3.967 	7.93 	4.955 	1.655 	2.479 p
PL51	: 	: 	: 	: 	: 	0.673 	: 	: 	: 	0.415 	0.665 	2.557 p
