landuse,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
L0008,NO07	107328.0 	107328.0 	107328.0 	107328.0 	106715.0 	106715.0 	106715.0 	106715.0 	107128.0 	: 	: 
L0008,RO11	33649.0 	33649.0 	33649.0 	33649.0 	33649.0 	33649.0 	33650.5 	33649.6 	33654.0 	: 	: 
L0008,RO12	33769.0 	33769.0 	33769.0 	33769.0 	33769.0 	33775.0 	33767.3 	33785.1 	33783.0 	: 	: 
L0008,RO21	36133.0 	36133.0 	36133.0 	36133.0 	36133.0 	36135.0 	36134.5 	36115.5 	36112.0 	: 	: 
L0008,RO22	31173.0 	31173.0 	31173.0 	31173.0 	31173.0 	31187.0 	31172.9 	31168.8 	31088.0 	: 	: 
L0008,RO31	33409.0 	33409.0 	33409.0 	33409.0 	33409.0 	33432.0 	33433.2 	33433.8 	33436.0 	: 	: 
L0008,RO32	1757.0 	1757.0 	1757.0 	1757.0 	1757.0 	1757.0 	1757.4 	1758.8 	1759.0 	: 	: 
L0008,RO41	28484.0 	28484.0 	28484.0 	28484.0 	28484.0 	28485.0 	28482.1 	28482.0 	28478.0 	: 	: 
L0008,RO42	31580.0 	31580.0 	31580.0 	31580.0 	31580.0 	31580.0 	31578.8 	31579.5 	31581.0 	: 	: 
L0008,SE11	6519.3 	6519.3 	6519.3 	6519.3 	6519.3 	6519.0 	6519.3 	6519.3 	6519.3 	6519.3 	: 
L0008,SE12	38607.4 	38607.4 	38607.4 	38607.4 	38607.4 	38607.4 	38607.4 	38607.4 	38607.3 	38607.3 	: 
L0008,SE21	33333.2 	33333.2 	33333.2 	33333.2 	33333.2 	33333.0 	33333.2 	33333.1 	33333.1 	33333.1 	: 
L0008,SE22	13982.1 	13982.1 	13982.1 	13982.1 	13982.1 	13982.0 	13982.1 	13982.1 	13982.1 	13982.1 	: 
L0008,SE23	29417.7 	29417.7 	29417.7 	29417.7 	29417.7 	29418.0 	29417.7 	29417.7 	29417.7 	29417.7 	: 
L0008,SE31	63987.0 	63987.0 	63987.0 	63987.0 	63987.0 	63987.0 	63987.0 	63988.3 	63988.3 	63988.3 	: 
L0008,SE32	71027.6 	71027.6 	71027.6 	71027.6 	71027.6 	71028.0 	71027.6 	71027.6 	71027.6 	71027.6 	: 
L0008,SE33	153438.7 	153438.7 	153438.7 	153438.7 	153438.7 	153439.0 	153438.7 	153438.7 	153438.7 	153438.7 	: 
L0008,SI01	12117.0 	12117.0 	12117.0 	12117.0 	12117.0 	12117.0 	12117.0 	12117.0 	12114.6 	12114.6 	: 
L0008,SI02	8024.0 	8024.0 	8024.0 	8024.0 	8024.0 	8024.0 	8024.0 	8024.0 	8023.4 	8023.4 	: 
L0008,SK01	2053.0 	2053.0 	2053.0 	2052.0 	2052.0 	2052.0 	2052.6 	2052.6 	2053.0 	2052.7 	: 
L0008,SK02	14993.0 	14993.0 	14994.0 	14993.0 	14993.0 	14993.0 	14992.4 	14992.5 	14993.0 	14992.7 	: 
L0008,SK03	16243.0 	16243.0 	16243.0 	16256.0 	16256.0 	16256.0 	16261.6 	16263.2 	16263.0 	16263.2 	: 
L0008,SK04	15746.0 	15746.0 	15744.0 	15733.0 	15733.0 	15733.0 	15727.1 	15726.4 	15726.0 	15728.3 	: 
L0008,TR10	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	5196.1 	: 
L0008,TR21	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	18664.9 	: 
L0008,TR22	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	24232.3 	: 
L0008,TR31	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	12012.0 	: 
L0008,TR32	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	32394.4 	: 
L0008,TR33	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	44728.2 	: 
