geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
PL21	: 	: 	: 	885.7 	851.3 	838.4 	819.2 	811.0 	789.2 	778.8 	763.8 	: 
PL22	: 	: 	: 	989.1 	953.6 	937.4 	918.8 	908.5 	890.0 	879.7 	867.3 	: 
PL31	: 	: 	: 	947.8 	926.2 	911.4 	899.9 	891.6 	874.5 	863.2 	847.5 	: 
PL32	: 	: 	: 	880.7 	860.6 	848.4 	836.7 	826.0 	799.8 	773.6 	749.6 	: 
PL33	: 	: 	: 	929.4 	894.8 	887.4 	872.8 	861.7 	849.8 	839.7 	828.2 	: 
PL34	: 	: 	: 	889.0 	858.6 	849.7 	842.8 	839.4 	826.2 	807.5 	782.6 	: 
PL41	: 	: 	: 	970.4 	935.2 	914.8 	898.7 	881.7 	863.9 	846.2 	833.1 	: 
PL42	: 	: 	: 	970.6 	940.2 	915.2 	907.8 	891.8 	879.3 	862.5 	853.6 	: 
PL43	: 	: 	: 	969.1 	934.4 	923.9 	915.5 	907.1 	890.1 	882.4 	869.7 	: 
PL51	: 	: 	: 	964.9 	929.9 	913.1 	905.5 	892.7 	877.2 	866.0 	860.0 	: 
PL52	: 	: 	: 	902.7 	883.3 	874.9 	861.8 	846.0 	820.0 	807.9 	794.1 	: 
PL61	: 	: 	: 	968.0 	936.7 	916.5 	902.8 	892.1 	877.7 	874.4 	861.9 	: 
PL62	: 	: 	: 	946.9 	929.8 	921.7 	908.0 	895.6 	884.6 	875.0 	857.4 	: 
PL63	: 	: 	: 	905.7 	877.2 	860.4 	849.3 	837.6 	822.7 	816.4 	806.5 	: 
PT11	540.5 	784.9 	763.2 	743.6 	718.7 	713.1 	690.4 	678.6 	648.2 	635.4 	611.0 	: 
PT15	305.7 	566.3 	785.2 	765.8 	748.8 	741.9 	733.2 	723.9 	699.0 	682.5 	662.4 	: 
PT16	1841.3 	1053.7 	746.3 	725.6 	707.7 	703.6 	686.2 	672.1 	640.6 	629.0 	610.7 	: 
PT17	799.5 	785.0 	785.0 	757.7 	734.4 	716.1 	695.1 	680.5 	657.9 	641.9 	620.6 	: 
PT18	421.0 	537.9 	796.9 	770.4 	751.6 	752.5 	732.4 	727.2 	687.7 	680.0 	660.7 	: 
PT20	710.5 	1062.3 	1024.3 	998.0 	999.2 	1001.1 	984.1 	950.7 	904.3 	866.3 	833.8 	: 
PT30	645.9 	985.7 	998.6 	1002.5 	999.5 	1007.5 	988.0 	981.5 	944.1 	926.2 	901.6 	: 
RO11	: 	: 	: 	1239.0 	1226.5 	1215.2 	1200.1 	1170.4 	1142.6 	1096.1 	1048.8 	: 
RO12	: 	: 	: 	1102.9 	1094.4 	1094.1 	1084.9 	1053.3 	1034.9 	998.7 	967.2 	: 
RO21	: 	: 	: 	1073.7 	1078.9 	1094.5 	1086.2 	1054.4 	1007.2 	979.7 	954.7 	: 
RO22	: 	: 	: 	1130.9 	1124.5 	1133.8 	1113.3 	1078.5 	1035.5 	1006.9 	984.3 	: 
RO31	: 	: 	: 	1124.2 	1121.7 	1136.3 	1125.1 	1100.8 	1065.2 	1034.0 	1003.0 	: 
RO32	: 	: 	: 	1026.1 	1007.9 	994.7 	973.5 	961.2 	947.9 	939.0 	906.9 	: 
RO41	: 	: 	: 	1140.7 	1136.1 	1148.3 	1144.1 	1117.1 	1086.0 	1052.2 	1015.1 	: 
RO42	: 	: 	: 	1219.4 	1189.8 	1185.4 	1180.6 	1165.4 	1139.5 	1092.8 	1045.7 	: 
SE11	634.3 	623.2 	610.0 	595.3 	585.2 	578.7 	572.6 	558.5 	545.7 	534.0 	526.3 	775.9 
SE12	640.6 	612.6 	607.0 	604.6 	600.9 	592.7 	581.0 	567.2 	556.5 	548.0 	540.1 	810.2 
SE21	: 	621.7 	611.3 	598.4 	592.6 	583.3 	568.6 	557.6 	551.2 	540.8 	529.5 	775.4 
SE22	639.9 	618.6 	610.2 	604.2 	595.7 	585.6 	572.6 	560.3 	548.5 	544.0 	537.2 	799.7 
SE23	: 	614.1 	603.2 	595.8 	588.4 	582.9 	572.5 	561.5 	549.9 	541.8 	532.6 	788.8 
SE31	685.7 	654.8 	648.0 	637.8 	634.2 	627.2 	615.6 	602.1 	589.9 	581.7 	569.8 	848.4 
SE32	676.2 	668.5 	656.2 	644.9 	629.9 	626.4 	620.2 	618.8 	610.1 	598.7 	580.4 	860.1 
SE33	678.8 	654.5 	651.1 	640.8 	632.9 	626.6 	620.7 	601.2 	582.8 	570.8 	565.4 	840.4 
SK01	: 	613.5 	304.7 	: 	: 	: 	870.2 	874.3 	858.4 	836.7 	807.8 	: 
